epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82654,2.08884,4.34341,1.94906,0.00214,0.28539,0.01812,0.00685,2.09533,3.89278,1.89198,3.333e-05,3.333e-05,3.333e-05
2,3.00433,1.94146,4.41756,1.90734,0.00242,0.31346,0.06606,0.02453,2.00873,3.86716,1.8128,7.70001e-05,7.70001e-05,7.70001e-05
3,4.32647,1.95969,4.09445,1.77718,0.00341,0.3934,0.07025,0.02398,1.94469,3.79115,1.63039,0.00011979,0.00011979,0.00011979
4,5.65232,1.82769,3.8122,1.55591,0.00398,0.44368,0.11224,0.04136,1.94059,3.73368,1.57485,0.0001617,0.0001617,0.0001617
5,6.90746,1.82898,3.51414,1.5809,0.00484,0.65109,0.1331,0.05539,1.8622,3.69357,1.55477,0.000202731,0.000202731,0.000202731
6,8.10184,1.81184,3.26574,1.54397,0.00592,0.74534,0.15017,0.0682,1.67853,3.59771,1.45638,0.000242881,0.000242881,0.000242881
7,9.2653,1.77135,2.90147,1.52717,0.00711,0.86871,0.20892,0.10318,1.61451,3.47236,1.35736,0.000282152,0.000282152,0.000282152
8,10.4815,1.7452,2.66261,1.49931,0.00768,0.90626,0.21488,0.09127,1.56248,3.39435,1.29657,0.000320542,0.000320542,0.000320542
9,11.7018,1.76084,2.71714,1.54227,0.00828,0.9433,0.23177,0.09204,1.43103,3.35652,1.2466,0.000358053,0.000358053,0.000358053
10,12.9771,1.6213,2.62635,1.46633,0.00792,0.86871,0.2466,0.11638,1.43801,3.33344,1.27642,0.000394684,0.000394684,0.000394684
11,14.324,1.54547,2.31103,1.3965,0.00785,0.90524,0.26066,0.14872,1.45917,3.28566,1.26736,0.000430435,0.000430435,0.000430435
12,15.6322,1.68668,2.14022,1.4613,0.00796,0.9719,0.30694,0.15864,1.39289,3.23651,1.2117,0.000465306,0.000465306,0.000465306
13,16.846,1.48243,2.04971,1.34426,0.00773,0.95658,0.34467,0.17834,1.33205,3.25874,1.17104,0.000499297,0.000499297,0.000499297
14,18.044,1.5822,2.15392,1.37355,0.89246,0.06173,0.3402,0.17482,1.31193,3.26423,1.18218,0.000532408,0.000532408,0.000532408
15,19.2348,1.55768,2.23002,1.36519,0.67145,0.0659,0.272,0.14601,1.3665,3.16721,1.1951,0.000564639,0.000564639,0.000564639
16,20.3829,1.6048,2.04729,1.31621,0.23662,0.23362,0.25718,0.12995,1.44267,3.11617,1.22335,0.00059599,0.00059599,0.00059599
17,21.563,1.50469,2.09271,1.34927,0.90394,0.04286,0.26008,0.1188,1.49105,3.12252,1.28262,0.000626462,0.000626462,0.000626462
18,22.848,1.4655,1.98628,1.33664,0.66535,0.09976,0.26148,0.11417,1.49025,3.15307,1.38329,0.000656053,0.000656053,0.000656053
19,24.0264,1.44378,2.0502,1.3217,0.61264,0.12171,0.26288,0.13509,1.49472,3.09016,1.37407,0.000684765,0.000684765,0.000684765
20,25.2427,1.44628,1.94953,1.33826,0.46521,0.18903,0.34375,0.1865,1.54774,2.95361,1.4022,0.000712597,0.000712597,0.000712597
21,26.5174,1.46486,1.86654,1.31122,0.55297,0.49692,0.49711,0.29041,1.37226,2.59141,1.26354,0.000739548,0.000739548,0.000739548
22,27.7299,1.43379,1.85247,1.32504,0.54171,0.50599,0.48835,0.28904,1.44116,2.54212,1.29288,0.00076562,0.00076562,0.00076562
23,28.8864,1.40799,1.63957,1.25301,0.53097,0.48032,0.50337,0.29445,1.45714,2.55448,1.31057,0.000790812,0.000790812,0.000790812
24,30.073,1.38748,1.70343,1.316,0.54027,0.52856,0.49489,0.29819,1.35588,2.45541,1.24755,0.000815124,0.000815124,0.000815124
25,31.2936,1.44327,1.71295,1.32873,0.42806,0.55531,0.4974,0.32839,1.32386,2.36785,1.23892,0.000838556,0.000838556,0.000838556
26,32.5141,1.26156,1.65295,1.21307,0.45405,0.56322,0.49121,0.33459,1.25437,2.31485,1.19891,0.000836027,0.000836027,0.000836027
27,33.714,1.34074,1.70193,1.28141,0.4467,0.53609,0.49652,0.33167,1.20109,2.3173,1.14705,0.000825029,0.000825029,0.000825029
28,34.8951,1.32914,1.6241,1.23576,0.4508,0.55671,0.48636,0.33614,1.15021,2.3492,1.12857,0.00081403,0.00081403,0.00081403
29,36.0749,1.41988,1.69007,1.30483,0.46849,0.58757,0.49375,0.3312,1.19767,2.31234,1.14337,0.000803031,0.000803031,0.000803031
30,37.2339,1.40008,1.65861,1.33135,0.46314,0.57165,0.49502,0.33339,1.26243,2.33949,1.18384,0.000792032,0.000792032,0.000792032
31,38.3643,1.18221,1.59234,1.20013,0.48287,0.61099,0.50017,0.32751,1.21821,2.29052,1.17691,0.000781033,0.000781033,0.000781033
